Date,y,k,n,w,rk,x,c,s,s1,s2,i,i1,i2,r,r1,r2,v,ns,ni,nr,cs,ci,cr,tau,tau1,tau2,lambtilde,lamtau,lami,lams,lamr,dd,pop,Rb,pie,mc,F,Kf,rr,pbreve,yF,kF,nF,wF,rkF,xF,cF,sF,sF1,sF2,iF,iF1,iF2,rF,rF1,rF2,vF,nsF,niF,nrF,csF,ciF,crF,tauF,tauF1,tauF2,lambtildeF,lamtauF,lamiF,lamsF,lamrF,ddF,popF,RbF,pieF,mcF,FF,KfF,rrF,pbreveF,y_n,yF_n,c_n,cF_n,w_n,wF_n,n_n,nF_n,x_n,xF_n,rr_n,rrF_n,Rb_n,RbF_n,k_n,kF_n,cs_n,csF_n,ci_n,ciF_n,cr_n,crF_n,ns_n,nsF_n,ni_n,niF_n,nr_n,nrF_n,i_total,iF_total,v_total,vF_total
2020-02-03,1115.423845582064,178496.53806237047,28.005669313706758,19.715313904698142,0.0015466309106249227,204.6545306216247,698.8462380373624,99.44150938247287,0.9944150938247287,1.0,0.01005,0.0001,1e-05,55.84906175271427,0.0055849061752714264,0.0,0.00019892280332561087,28.005669313706754,28.005669313706754,28.005669313706754,698.8462380373624,698.8462380373624,698.8462380373624,0.0,0.0,0.0,0.0014309299321813387,-50.85988475603838,15206.601025502834,15257.460910258873,15292.170651482415,0.01,100.0,1.0003744101733367,-0.0905672255845702,0.7425075672519209,76.7256597889984,76.6602600475257,1.0003928728566418,0.9999997628521357,1114.0375207305804,178477.57517988293,27.954842158738824,19.67966702949124,0.0015411844840908099,203.26343970032954,698.8510041071739,0.9944150938247287,0.9944150938247287,1.0,0.0001005,0.0001,1e-05,0.5584906175271427,0.0055849061752714264,0.0,0.00019892280332561087,27.95484215873882,27.95484215873882,27.95484215873882,698.8510041071739,698.8510041071739,698.8510041071739,0.0,0.0,0.0,0.0014309201734317455,-50.77795074545279,15206.702905774355,15257.48085651981,15292.272421460139,0.0001,1.0,1.0003836215229296,-0.017219393743805878,0.7407407407407407,1.594098762373261,1.594098762373261,1.0003870586914403,1.0,0.0035171901160646613,-0.12077400346521827,0.20149013115060566,0.2021734964907873,0.22177847691724484,0.04056943060686269,0.02024754895271208,-0.16127800450419505,-0.6630621787913848,-1.3382815933463021,2.06354020358559,2.032699350099554,1.9656376920590857,2.014471416840302,-0.03059462275448732,-0.04121504210321536,0.20149013115060566,0.2021734964907873,0.20149013115060566,0.2021734964907873,0.20149013115060566,0.2021734964907873,0.020247548952689876,-0.16127800450421725,0.020247548952689876,-0.16127800450421725,0.020247548952689876,-0.16127800450421725,0.0,0.0,0.5584906175271427,0.5584906175271427
2020-02-10,1115.2966071813187,178495.3009024721,28.000980936283685,19.71959406390566,0.0015467190104878612,204.72038401975135,698.6531462384906,99.41516200376496,0.9941516200381306,1.0,0.011509076783313978,0.00011459076783313977,1e-05,58.38481194036371,0.005833509194036372,4.972e-06,0.00019888301876494575,27.998104236887578,28.011629345314237,28.011629345314237,698.5817675595963,698.8492305732792,698.8492305732792,6.459076783313977e-05,6.459076783313977e-05,0.0,0.0014309238048093261,-50.849702364175556,15206.598769780881,15257.448472145057,15292.168381647874,0.010028700000000002,99.9999713,1.0003736558037282,-0.09592309979833402,0.7426291281883548,76.69665734562128,76.62742121908073,1.0003932212323567,0.9999997354434026,1113.8186894971914,178474.8808502535,27.94681523073874,19.68145265204922,0.0015409048452865552,203.24133403966442,698.6542785344499,0.9941516487131123,0.9941516487134986,1.0,0.00011506209246516681,0.00011456209246516681,1e-05,0.5838481194036371,0.005833509194036372,4.972e-06,0.00019888301876494575,27.943944219849335,27.957421393448143,27.957421393448143,698.5829021877098,698.8499350066261,698.8499350066261,6.45620924651668e-05,6.45620924651668e-05,0.0,0.0014309223624532576,-50.767729520200604,15206.702216924055,15257.469946444255,15292.271718282876,0.00010028700000000001,0.999999713,1.0003834353166314,-0.017864795674238376,0.7407407407407407,1.5937880705199,1.5937880705199,1.0003870179735523,1.0,-0.007890390640397094,-0.1403933554242287,0.1738043757927743,0.1739667258723987,0.24353644486112547,0.049646550520554555,0.0035033438703147013,-0.18994560450450448,-0.6310977023874065,-1.3490114248937313,2.0653884297434866,2.0324833969972866,1.9616394374929014,2.0134840219864225,-0.031287510923294626,-0.04272403792949797,0.1635700072013524,0.16373269166829463,0.2019192048750229,0.2020202074521471,0.2019192048750229,0.2020202074521471,-0.006770582544368686,-0.2001992148238041,0.04153337612227137,-0.1520664519709114,0.04153337612227137,-0.1520664519709114,0.006459076783313976,0.0064562092465166795,0.5783789194036372,0.5783789194036372
2020-02-17,1115.3474877373574,178494.15147246482,28.00299543144977,19.722479996301598,0.0015470673862026756,204.80668641864523,698.617724395635,99.38787927521993,0.9938787928475088,1.0,0.013179225053071394,0.00013129225053071393,1e-05,60.99258047810635,0.006089314047810635,9.944e-06,0.00019883032400762614,28.000111136517162,28.015599082358307,28.015599082358307,698.5462439217472,698.8524664895406,698.8524664895406,7.399686661414404e-05,7.399686661414404e-05,0.0,0.0014309171791625252,-50.839996579327604,15206.596397277895,15257.436393857222,15292.165994278015,0.01006148541499328,99.99993851458501,1.0003728402075351,-0.1016495345255608,0.742757338196076,76.66748426192318,76.59414840704953,1.0003935840370508,0.9999997046296716,1113.7724432525038,178472.1829954359,27.945285636939264,19.681712695061066,0.0015408641273982268,203.23470000963275,698.6146663197942,0.9938788750980904,0.9938788751332991,1.0,0.00013172429668937836,0.00013122429668937835,1e-05,0.6099243796152752,0.0060892997961527525,9.944e-06,0.00019883032974269972,27.942407457783276,27.957834691230303,27.957834691230303,698.5431895775175,698.8488374630733,698.8488374630733,7.394325045679496e-05,7.394325045679496e-05,0.0,0.0014309246097198036,-50.757981570894394,15206.701519747043,15257.459501317937,15292.27100476323,0.00010061477385890248,0.9999993852261411,1.0003832171674683,-0.018620908144562076,0.7407407407407407,1.593724398677749,1.593724398677749,1.0003869696081482,1.0,-0.003328685616243998,-0.14453957046518529,0.16872554550917407,0.16828707458451664,0.2582069329234882,0.05096846572076874,0.010697969463469015,-0.1954084395026312,-0.5892075179546263,-1.3522315062022616,2.067313240379698,2.0322268847892344,1.9573168472565072,2.0123272558453253,-0.031931264777562696,-0.044235008085213856,0.15847658141807663,0.15803864553671776,0.20238317479239765,0.2018628402181477,0.20238317479239765,0.2018628402181477,0.0003969161327166404,-0.2056876507740113,0.05571100842252097,-0.15059038846320094,0.05571100842252097,-0.15059038846320094,0.013858763444728379,0.013850534292196175,0.5982619518043998,0.5982619523779072
2020-02-24,1115.3983034251728,178493.09492137653,28.005000821730075,19.725565490624792,0.0015474301908969196,204.8982390722385,698.5769874298574,99.35952549020669,0.9935952568773432,1.0,0.015090633686155788,0.00015040633686155786,1e-05,63.68284313344008,0.006353368313344008,1.4916e-05,0.00019877575856950178,28.00210711386654,28.019842094850794,28.019842094850794,698.5053757713689,698.8559558692535,698.8559558692535,8.476021159620091e-05,8.476021159620091e-05,0.0,0.0014309100346095829,-50.83083712435254,15206.593899907466,15257.42473703182,15292.163481235328,0.01009894724514188,99.99990105275486,1.0003719585135138,-0.10776848104618875,0.7428928667310531,76.63789372705628,76.5601796986597,1.0003939608227044,0.9999996699548505,1113.7206481794715,178469.48163405567,27.94354750111856,19.682021591989937,0.001540815761994346,203.22808053757768,698.569490718817,0.9935954258483681,0.9935954259389209,1.0,0.0001507855676962038,0.0001502855676962038,1e-05,0.6368236291493372,0.006353320291493372,1.4916e-05,0.00019877577502665984,27.940660376832316,27.958318738937248,27.958318738937248,698.4978844957059,698.8477061342674,698.8477061342674,8.467341935151462e-05,8.467341935151462e-05,0.0,0.001430926926170464,-50.74877584671639,15206.700812584077,15257.449588430794,15292.270278952788,0.00010098920188963274,0.9999990107981103,1.0003829625891505,-0.019503278082766418,0.7407407407407407,1.5936528637120158,1.5936528637120158,1.0003869125087002,1.0,0.0012272036361782312,-0.1491832666680848,0.16288462593034847,0.16180973766959372,0.27389188372093365,0.05253872728125941,0.01786007760740116,-0.20161606743371863,-0.5447689207257356,-1.3554445212376254,2.0693122627680083,2.031924051257894,1.9526441463371347,2.0109773353348848,-0.032523000534423474,-0.045747942138851805,0.1526168524191629,0.151542743489963,0.2028834866318885,0.20170062881024187,0.2028834866318885,0.20170062881024187,0.007525406666220036,-0.21192722559887356,0.07086462446712627,-0.14886164665268709,0.07086462446712627,-0.14886164665268709,0.02233478460434847,0.022317876227347638,0.6181395276613499,0.6181395298805732
2020-03-02,1115.4484258404686,178492.1365464765,28.006973055840906,19.728862311151087,0.0015478069765505313,204.99519616312043,698.5301527542712,99.33011244767496,0.9932994636680176,1.0,0.0172777326380991,0.00017227732638099098,1e-05,66.46757395407043,0.006626869395407043,1.9888e-05,0.00019871905137546864,28.004067698119677,28.02437469315113,28.02437469315113,698.4583731601489,698.859708483004,698.859708483004,9.707415795021209e-05,9.707415795021209e-05,0.0,0.00143090235116095,-50.82230370903918,15206.591269104983,15257.413572814023,15292.160833901218,0.010141761019463116,99.99985823898055,1.0003710054563681,-0.11430283387322548,0.7430359375132426,76.60789503681464,76.52550844074686,1.0003943508951079,0.9999996309033438,1113.6625193025466,178466.7767886412,27.941571289287616,19.682386289650893,0.001540758662546135,203.22147954790236,698.5179628315674,0.9933014208306957,0.9932997630801997,1.0,0.00017258655738161072,0.0001720865573816107,1e-05,0.6646649360939709,0.006626761360939709,1.9888e-05,0.0001987190851877842,27.93867303036251,27.9588836490457,27.9588836490457,698.4461907688517,698.8465349189746,698.8465349189746,9.694377353350882e-05,9.694377353350882e-05,0.0,0.0014309293242985436,-50.740191117713906,15206.700093539399,15257.440284657112,15292.269538626202,0.00010141700147918211,0.9999985829985207,1.000382666483951,-0.020529570638971872,0.7407407407407407,1.5935723562421946,1.5935723562421946,1.0003868454373954,1.0,0.005720937421327399,-0.1543948211510049,0.15616940872216212,0.15442160161807106,0.29065110034114383,0.054392648977064084,0.024903770860373875,-0.208673966829942,-0.49770707225843536,-1.3586485651400193,2.0713818179715737,2.0315683319564792,1.9475934795297078,2.0094072374777783,-0.0330597513864217,-0.047262827473082414,0.1458775563795589,0.14413082913842246,0.20342154131292034,0.20153269842553279,0.20342154131292034,0.20153269842553279,0.014527493284566262,-0.2190248915624693,0.0870524755397506,-0.14684411055106983,0.0870524755397506,-0.14684411055106983,0.03204220039936968,0.03201225358069852,0.6380114327988968,0.6380114383993516
2020-03-09,1115.497093147909,178491.28177066907,28.008883045740575,19.732382659562795,0.0015481970489539909,205.09768943850298,698.4763267863293,99.2994255768324,0.9929896447496186,1.0,0.01977976888558514,0.00019729768885585138,1e-05,69.36045574817274,0.006911185574817275,2.486e-05,0.0001986598927336035,28.005963282922924,28.0292138271331,28.0292138271331,698.4043333328422,698.8637336169004,698.8637336169004,0.00011115902566535588,0.00011115902566535588,0.0,0.0014308941098210737,-50.814487439498684,15206.588495809621,15257.40298324912,15292.158043157911,0.010190698670849794,99.99980930132915,1.0003699753456543,-0.12127624436628626,0.7431867458959486,76.57749959643283,76.49012959662883,1.0003947532672641,0.9999995868929347,1113.5971623727316,178464.0684855383,27.939323358821067,19.68281470406065,0.0015406915912416239,203.2149008840096,698.4591845656452,0.9929947297237737,0.9929901311910955,1.0,0.00019751521517906553,0.00019701521517906552,1e-05,0.6935842749885885,0.006910982749885886,2.486e-05,0.00019865995261603993,27.936411266239354,27.959540945494634,27.959540945494634,698.3872012480604,698.845316851303,698.845316851303,0.0001109719364882602,0.0001109719364882602,0.0,0.0014309318183679867,-50.73231734982074,15206.6993604475,15257.43167779732,15292.268781242523,0.00010190584383985061,0.99999809415616,1.000382323064166,-0.02171984106659197,0.7407407407407407,1.5934816124834308,1.5934816124834308,1.0003867669848079,1.0,0.010084213260808106,-0.16025440796200163,0.14845177084708006,0.14599389676375196,0.3085466094050693,0.05657047146969685,0.031725163359186404,-0.21670228992476392,-0.44795802398257534,-1.3618417723662457,2.073516673457698,2.031152252438928,1.9421347481078932,2.007586283709517,-0.033538480162498274,-0.048779649332586494,0.13812925506828666,0.13567283428392862,0.20399867028983998,0.20135805028531628,0.20399867028983998,0.20135805028531628,0.021297439010448116,-0.2271026205737381,0.10433509690392917,-0.1444966232334477,0.10433509690392917,-0.1444966232334477,0.04315810296590527,0.04310944722952453,0.6578774220722572,0.6578774336609556
2020-03-16,1115.5433887342863,178490.53611359443,28.010695864305784,19.736139149297188,0.0015485994211102891,205.20582189150375,698.4144899197057,99.26746174990149,0.992663781116514,1.0,0.022641454858261533,0.00022591454858261533,1e-05,72.37711914666328,0.007207879914666328,2.9831999999999998e-05,0.00019859792894992372,28.00775829962981,28.034377057845848,28.034377057845848,698.3422252400624,698.8680398680572,698.8680398680572,0.00012726570415468963,0.00012726570415468963,0.0,0.0014308852930072205,-50.80749242129817,15206.585570447345,15257.393062868643,15292.155099371395,0.010246642023729432,99.99975335797626,1.0003688620327542,-0.12871303902431963,0.7433454507731688,76.54672118532291,76.45404007245551,1.0003951666060038,0.9999995372670044,1113.5235591802293,178461.35675461456,27.9367654071475,19.68331585131417,0.0015406131386540502,203.20834809803097,698.3921341591214,0.9926753273785834,0.9926645276909081,1.0,0.0002260130815386351,0.00022551308153863508,1e-05,0.7237368741111136,0.0072075367411111365,2.9831999999999998e-05,0.0001985980262382191,27.93383615171139,27.96030375442388,27.96030375442388,698.3198828822622,698.8440439808276,698.8440439808276,0.00012700547394910234,0.00012700547394910234,0.0,0.001430934424658875,-50.725257266652015,15206.69861083541,15257.423868102063,15292.268003901296,0.000102464486442352,0.9999975355135575,1.0003819257648279,-0.023096836807501298,0.7407407407407407,1.5933791934996517,1.5933791934996517,1.0003866755470316,1.0,0.01423485203944086,-0.1668533148760032,0.13958551981292366,0.13638012154124635,0.3276425306686592,0.05911802761153773,0.03819951537780142,-0.2258378316160714,-0.3954717842322708,-1.3650224187528148,2.0757097596594054,2.030667307043732,1.936235436516509,2.0054796780372364,-0.03395609551334333,-0.05029839098961153,0.12922411527211963,0.1260206387092344,0.20461610622826143,0.20117554444720742,0.20461610622826143,0.20117554444720742,0.02770821296360637,-0.23629945817360554,0.12277520659231822,-0.14177230562900656,0.12277520659231822,-0.14177230562900656,0.05588467338137423,0.05580999462443477,0.6777372149672496,0.6777372362847776
2020-03-23,1115.5862169460563,178489.90515538267,28.01236983380763,19.74014477123633,0.0015490127598497961,205.31966038085793,698.3434796421213,99.2339858465375,0.9923195686674509,1.0,0.02591369671311546,0.0002586369671311546,1e-05,75.53541384444907,0.0075187373844449075,3.4804e-05,0.00019853275622330283,28.009410274966882,28.039882518378175,28.039882518378175,698.2708720757755,698.872634902775,698.872634902775,0.00014567969283984695,0.00014567969283984695,0.0,0.0014308758850446386,-50.80143758144031,15206.582482915277,15257.383920496717,15292.151992375704,0.010310598097332565,99.99968940190266,1.0003676588759916,-0.13663811250661517,0.7435121651819313,76.51557625355481,76.41723909313198,1.000395589171057,0.9999994812860789,1113.440551036773,178458.6416286649,27.933853852030037,19.68389999495941,0.0015405217008778427,203.20182415180912,698.315649961887,0.9923408819018961,0.992320668983948,1.0,0.00025858234219129097,0.00025808234219129096,1e-05,0.7552998750790327,0.007518194750790327,3.4804e-05,0.00019853290553818165,27.930903323716457,27.961187018996192,27.961187018996192,698.2430599319472,698.8427072367468,698.8427072367468,0.00014532580142197346,0.00014532580142197346,0.0,0.0014309371617456362,-50.71912812197886,15206.69784187986,15257.41697000184,15292.267203292788,0.00010310292307066018,0.9999968970769292,1.0003814671471036,-0.024686331738421607,0.7407407407407407,1.5932634618730448,1.5932634618730448,1.0003865693000298,1.0,0.018074622749875147,-0.17429542428931688,0.12940397308447427,0.12541371703445048,0.348004902608956,0.06208749161780158,0.04417797788438538,-0.23623624274986543,-0.34021590055216544,-1.3681890666556007,2.0779518464624225,2.0301038229259216,1.929860429511665,2.003047996107843,-0.03430947221145786,-0.05181903407691646,0.11899340499859079,0.1150056633414609,0.20527494833237903,0.20098388032778747,0.20527494833237903,0.20098388032778747,0.033608124881712165,-0.2467738438697964,0.14243756563634413,-0.13861778929931123,0.14243756563634413,-0.13861778929931123,0.07045264266535892,0.07034257476663211,0.6975904905895799,0.6975905268385957
2020-03-30,1115.624275596423,178489.3944918675,28.013855493510384,19.744412849595577,0.001549435324903307,205.43922704873313,698.261971624613,99.19897477110804,0.9919543791376927,1.0,0.029654409959036638,0.00029604409959036636,1e-05,78.85571598236008,0.007845795598236009,3.9776e-05,0.0001984639137334902,28.01086875971028,28.045748862519957,28.045748862519957,698.1889316319916,698.8775251721441,698.8775251721441,0.0001667256160247891,0.0001667256160247891,0.0,0.0014308658727488362,-50.79645873717156,15206.579222567825,15257.375681304997,15292.14871145901,0.010383716448129287,99.99961628355186,1.0003663587040446,-0.14507679109208027,0.7436869454484175,76.4840842537012,76.37972863434848,1.000396018745803,0.9999994181187081,1113.3468202421336,178455.92314240072,27.93053913660031,19.68457881160416,0.001540415453875934,203.19533099969115,698.2284123193655,0.9919911747634055,0.9919559523091791,1.0,0.0002957937120677628,0.0002952937120677628,1e-05,0.7884753425124628,0.007844977425124628,3.9776e-05,0.0001984641337967896,27.927562256112058,27.962207740846637,27.962207740846637,698.1553951354068,698.8412962741219,698.8412962741219,0.00016625254097211726,0.00016625254097211726,0.0,0.0014309400508119585,-50.71406370937919,15206.69705035864,15257.411114068022,15292.266375641562,0.0001038325536287958,0.999996167446371,1.0003809387919067,-0.026517494155298138,0.7407407407407407,1.593132555528599,1.593132555528599,1.000386446170929,1.0,0.021486777610335572,-0.18269887484320124,0.11771724663816041,0.11290546943949487,0.3697014581855118,0.06553822092016937,0.049483905394231975,-0.24807451214174936,-0.2821796253906439,-1.3713407674571743,2.080231175484859,2.0294508079155893,1.9229718206153157,2.0002466227764026,-0.03459547623435588,-0.0533415591539077,0.10724467670577553,0.10243616984306758,0.20597612156800782,0.20078157465617252,0.20597612156800782,0.20078157465617252,0.03881699896528534,-0.2587062281712238,0.1633887947141366,-0.1349723541191561,0.1633887947141366,-0.1349723541191561,0.08712520426783783,0.08696782886384384,0.717436881962929,0.7174369402182746
2020-04-06,1115.6560249155914,178489.00967991372,28.015094434339378,19.748956986810896,0.0015498648996493277,205.56448938297382,698.1684586095405,99.16216679534399,0.9915652160131045,1.0,0.03392942985556762,0.0003387942985556762,1e-05,82.36127600379875,0.008191379600379875,4.4748e-05,0.00019839087582753853,28.012074114107726,28.051995199756718,28.051995199756718,698.0948742558957,698.8827155792507,698.8827155792507,0.00019077224876049302,0.00019077224876049302,0.0,0.0014308552461068708,-50.79271094261507,15206.57577820501,15257.368489147626,15292.145245351927,0.01046730879601459,99.99953269120397,1.0003649537779042,-0.15405466176781069,0.743869778719711,76.45226801199513,76.34151391792196,1.0003964525589046,0.9999993468317084,1113.2408693441862,178453.2013308667,27.926764952159,19.685365576560184,0.0015402923247754643,203.18886901488713,698.1289234062223,0.9916236138864379,0.9915674127584355,1.0,0.0003382952163154678,0.00033779521631546776,1e-05,0.8234936649226556,0.008190188649226555,4.4748e-05,0.00019839119046183583,27.92375543472739,27.96338525081176,27.96338525081176,698.055368634589,698.8397993000697,698.8397993000697,0.00019014836028158634,0.00019014836028158634,0.0,0.0014309431160067691,-50.710216638268356,15206.696232595448,15257.406449233715,15292.265516642648,0.00010466637602258554,0.9999953336239772,1.000380331183405,-0.02862328955898219,0.7407407407407407,1.5929843584454424,1.5929843584454424,1.000386303806003,1.0,0.024333268294385313,-0.19219792086607734,0.10430922789681496,0.09864061859550244,0.39280134467800654,0.06953769987938507,0.05390869406920462,-0.26155374228927775,-0.22137873977129408,-1.3744773400056975,2.082533043934176,2.0286957808423933,1.9155287132544219,1.9970251365940772,-0.0348109953845821,-0.054865946593340986,0.09375860676696934,0.08809423897326862,0.20672032894604175,0.2005669365533258,0.20672032894604175,0.2005669365533258,0.04312183609902487,-0.2723020188307501,0.18569714198828358,-0.13076696138656363,0.18569714198828358,-0.13076696138656363,0.10620242914388713,0.10598266489200248,0.7372759695456828,0.7372760592644582
