Date,GDP,CPI_U,S,OBS_RS,GDP_RW,CPI_RW,OBS_RS_RW,OBS_D4L_CPI_TAR,CPI,OBS_L_GDP,L_CPI_U,OBS_L_S,L_GDP_RW,L_CPI_RW,OBS_L_CPI,L_Z,DLA_GDP,D4L_GDP,DLA_CPI_U,D4L_CPI_U,DLA_S,D4L_S,DLA_GDP_RW,D4L_GDP_RW,OBS_DLA_CPI_RW,D4L_CPI_RW,DLA_CPI,D4L_CPI,DLA_Z,D4L_Z,RR,RR_RW,RR_GAP,L_Z_GAP,RR_RW_GAP,RR_BAR,L_Z_BAR,RR_RW_BAR,L_GDP_GAP,L_GDP_BAR,DLA_GDP_BAR,L_GDP_RW_BAR_PURE,L_GDP_RW_GAP_PURE,L_GDP_RW_BAR,OBS_L_GDP_RW_GAP
1996-01-01,602673.0,55.85,34.96,10.86,1664137.8,84.1,5.63,8.91,55.298557513776,1330.913004006049,402.26695255152094,355.4204550787335,1432.4817709434524,443.2006566978902,401.2746823446232,397.3464294320005,,,,,,,,,,,,,,,,,,2.0174256478778716,,,395.3290037841226,,1.2197412366764127,1329.6932627693727,,1432.439178812399,0.042592131053424964,1432.308566209837,0.173204733615421
1996-04-01,608307.0,56.86,34.58,11.82,1676953.5,84.56,5.14,8.76,56.8490946626605,1331.8434967722449,404.0592106222854,354.32754802551443,1433.2489312335047,443.7461341561982,404.0400295050576,394.0336526766551,3.721971064783247,,7.1690322830577315,,-4.371628212876203,,3.068641160209154,,2.1819098332318845,,11.061388641737494,,-13.251107021381586,,,,,-0.1492751767386835,,,394.1829278533938,,1.521770063096568,1330.3217267091484,2.5138557591026256,1433.1294379900667,0.11949324343800072,1433.0077584085122,0.2411728249924181
1996-07-01,610673.0,57.93,33.87,12.69,1686235.4,84.78,5.0,8.6,57.9485159804014,1332.2316906673361,405.9235385108533,352.25296668296807,1433.8009028201238,444.0059665924491,405.9554960836653,390.3034371917518,1.5527755803650507,,7.457311554271655,,-8.298325370185466,,2.2078863464766982,,1.0393297450036698,,7.661866314430881,,-14.920861939613133,,,,,-2.73467562194287,,,393.0381128136947,,1.540620826990164,1330.691069840346,1.4773725247905531,1433.8197237878144,-0.01882096769054442,1433.707167113105,0.09373570701882272
1996-10-01,610665.0,58.67,34.25,12.69,1691089.6,85.15,4.59,8.45,58.9540859806171,1332.2303806286736,407.19285229377687,353.36865647082345,1434.0883612875568,444.4414407108697,407.67589372296663,390.1342034587266,-0.005240154649982287,,5.077255131694301,,4.462759151421551,,1.1498338697319923,,1.7418964736823455,,6.8815905572053,,-0.6769349321009486,,,,,-1.7615228003430161,,,391.8957262590696,,1.178925671480215,1331.0514549571935,1.4415404673900412,1434.5101375089996,-0.4217762214427694,1434.407310295563,-0.3189490080062569
1997-01-01,606417.0,59.84,33.93,12.39,1697250.9,85.57,4.44,8.3,59.8525146887539,1331.5323147218137,409.1674333666222,352.4299578796139,1434.4520382433307,444.9334754429963,409.18834476418454,388.1750885584257,-2.792263627439752,0.6193107157646409,7.898324291381414,6.900480815101275,-3.7547943648382898,-2.990497199119602,1.4547078230953048,1.9702672998782873,1.9681389285065052,1.7328187451061012,6.0498041648716026,7.913662419561319,-7.836459601203387,-9.171340873574763,4.476337580438681,2.707181254893899,-2.6799053481559234,-2.5801380528732807,-0.36588577294372326,7.1562429285946045,390.755226611299,3.0730670278376224,0.4966485502254727,1331.0356661715882,-0.06315514242123754,1435.2007686938755,-0.7487304505448265,1435.1088230974692,-0.6567848541385501
1997-04-01,604199.0,60.61,36.59,19.67,1718563.9,85.67,4.33,8.14,60.5946271088447,1331.165889285224,410.44598959631935,359.97749790311155,1435.6999558171074,445.0502705975953,410.420622757438,394.60714574326875,-1.465701746358718,-0.6776074870208504,5.114224918788523,6.386778974033973,30.1901600939907,5.649949877597123,4.991670295106815,2.4510245836027025,0.46718061839578695,1.3041364413970769,4.92911197301396,6.380593252380436,25.72822873937207,0.5734930666136506,13.289406747619566,3.025863558602923,6.502119411868239,4.992174402855596,0.03615992899848708,6.787287335751327,389.61497134041315,2.989703629604436,-0.3127094099799592,1331.478598695204,1.771730094463237,1435.8914432725562,-0.1914874554488506,1435.8119419741467,-0.1119861570393823
1997-07-01,599998.0,63.65,36.62,15.48,1729803.5,86.1,4.32,7.97,63.4526971286355,1330.4681600859394,415.33993250034155,360.05945392463644,1436.3518376207803,445.55094114336845,415.02947011944775,390.58092494855714,-2.7909167971383795,-1.763530581396708,19.575771616088787,9.416393989488256,0.3278240860995538,7.806487241668378,2.6075272146917996,2.550934800656478,2.002682183092702,1.5449745509193349,18.435389448038904,9.073974035782442,-16.10488317884642,0.27748775680532844,6.406025964217559,2.7750254490806654,-0.01063083784789054,2.1092196183985266,-0.1310861036824944,6.416656802065449,388.4717053301586,2.90611155276316,-1.0213097108187128,1331.4894697967582,0.043484406216521165,1436.5815192186226,-0.22968159784227282,1436.5160823998515,-0.16424477907116852
1997-10-01,600172.0,64.61,38.03,16.46,1746937.7,86.47,4.43,7.8,64.9742581055465,1330.4971559783912,416.8369197570074,363.83753219401683,1437.337492734695,445.9797532972339,417.3991162309946,392.4181692602561,0.11598356980721292,-1.7332246502824091,5.9879490266635,9.644067463230556,15.112313077521549,10.468875723193378,3.9426204556584707,3.2491314471380974,1.71524861546186,1.5383125863642135,9.47858444618737,9.723222508027959,7.348977246795812,2.2839658015295186,6.736777491972042,2.891687413635786,0.6900372806452522,5.0928756869722065,0.06960269497445815,6.04674021132679,387.3252935732839,2.822084718661328,-1.4821924009226848,1331.979348379314,1.9595143302231008,1437.270234825996,0.06725790869882076,1437.220519866142,0.11697286855292077
1998-01-01,600749.0,67.8,36.33,16.01,1757481.5,86.55,4.2,7.62,67.7299895836874,1330.5932489011395,421.65621949463497,359.26438462331106,1437.9392376295766,446.07222816222185,421.5529059435089,383.783706842024,0.3843716909932482,-0.9390658206741591,19.277198950510183,12.488786128012748,-18.292590282823085,6.834426743697179,2.4069795795267055,3.4871993862459476,0.3698994599517391,1.138752719225522,16.61515885005724,12.364561179324369,-34.53784967292836,-4.391381716401725,3.6454388206756327,3.061247280774478,-2.0344809823758787,-2.3932124827751977,0.3239121609428066,5.6799198030515115,386.1769193247992,2.7373351198316715,-1.6915757462098497,1332.2848246473493,1.2219050721414533,1437.9566848375996,-0.01744720802298616,1437.9243245586028,0.014913070973761933
1998-04-01,601588.0,68.3,36.53,15.61,1765141.0,86.82,4.06,7.42,68.2833250737657,1330.7328104610317,422.3909766576744,359.8133840807191,1438.3741131844315,446.3837009871447,422.36655943645343,383.83052563141035,0.5582462395686889,-0.43307882419230737,2.939028652157731,11.94498706135505,2.1959978296322333,-0.16411382239243721,1.7395022194195917,2.674157367324142,1.2458912996914933,1.3334303895494486,3.254613971778099,11.945936679015404,0.18727515754540036,-10.776620111858392,3.664063320984596,2.726569610450551,-1.654945769071583,-1.2004232556088255,0.07495135995927127,5.319009090056179,385.0309488870192,2.6516182504912797,-1.7620023235617879,1332.4948127845935,0.8399525489767257,1438.6400060325498,-0.26589284811825564,1438.6267128789043,-0.2525996944727922
1998-07-01,601598.0,69.7,35.19,14.18,1775152.6,87.06,3.94,7.21,69.5773216434386,1330.7344727144155,424.4200317766478,356.07619513334936,1438.9396949027273,446.65975361241516,424.2438675787148,378.4920811670497,0.006649013535025006,0.26631262847604376,8.11622047589367,9.080099276306271,-14.948755789479037,-3.983258791287085,2.262326873183156,2.587857281946981,1.1042105010817522,1.1088124690467112,7.50923256904548,9.214397459267047,-21.353777857442537,-12.088843781507421,4.965602540732952,2.831187530953289,5.2506189586409846e-05,-5.39817163740679,0.26629548099545897,4.965550034543366,383.8902528044565,2.56489204995783,-1.8250842088022736,1332.5595569232178,0.25897655449716694,1439.3193242854584,-0.37962938273108193,1439.3269198700557,-0.3872249673283932
1998-10-01,601559.0,69.43,35.02,11.53,1780226.8,87.17,3.62,7.0,69.793128888372,1330.7279897699598,424.03190507651817,355.5919326857706,1439.225132988191,446.7860235023485,424.5535564928122,377.8243996953068,-0.025931777822734148,0.230833791568557,-1.5525068005185858,7.194985319510749,-1.9370497903150863,-8.245599508246244,1.1417523418549536,1.8876402534961016,0.5050795597333035,0.806270205114572,1.238755656389685,7.154440261817626,-2.670725886971695,-14.593769564949298,4.375559738182373,2.813729794885428,-0.2444905194276057,-4.932551661782497,0.33656849273645495,4.620050257609979,382.7569513570893,2.477161302148973,-1.9269150598643812,1332.654904829824,0.3813916264252839,1439.9935992879064,-0.7684662997153282,1440.0238648254483,-0.7987318372572645
