Dates,a,e,g,pie,r,x,y,beta,psi,omega,alphax,alphapie,rhopie,rhog,rhox,rhoa,rhoe
Comments,Total Factor Productivity,Aggregate Technology AR(1) Process,Output Growth,Inflation,Interest Rate,Output Gap,Output,,,,,,,,,,
1948-01-01 00:00:00,0.0,0.0,0.008525844,0.002566241,-0.009988519,0.0,0.0,0.99,0.1,0.0617,0.0836,0.0001,0.3597,0.2536,0.0347,0.947,0.9625
1948-04-01 00:00:00,-0.17216444477806625,-0.0005370053957452824,-0.003985905999999985,0.011633541000000002,-0.009863199,0.02811153465222431,0.01748898840941761,,,,,,,,,,
1948-07-01 00:00:00,-0.18095566511884112,0.0030929969831495667,-0.004559256000000014,-0.005726138999999999,-0.009637579,0.01616833761266902,0.005003373074836493,,,,,,,,,,
1948-10-01 00:00:00,-0.13814675831363546,0.006563453976129838,-0.020547416000000002,-0.013725179000000002,-0.009562359,0.031126222607508983,0.02260256761955765,,,,,,,,,,
1949-01-01 00:00:00,-0.09839442305452561,0.009516238987762661,-0.010062965999999996,-0.020108349,-0.009562359,0.04492892801108411,0.038857992108619885,,,,,,,,,,
1949-04-01 00:00:00,-0.07952250707515339,0.009171556015751241,0.003642004000000003,-0.014394809,-0.009879909,0.05857317157083487,0.053666632884297905,,,,,,,,,,
1949-07-01 00:00:00,-0.06545967022144525,0.00851817112048511,-0.018074866,-0.007415339,-0.009796349,0.07401602591389521,0.06997716426123204,,,,,,,,,,
1949-10-01 00:00:00,-0.07160059515940313,0.00874353562663174,0.03278964400000001,-0.011497138999999998,-0.009729509,0.06287338954509505,0.058455632823759825,,,,,,,,,,
1950-01-01 00:00:00,-0.07486903459450629,0.0069341423069332235,0.021975264,-0.004500388999999998,-0.009604149,0.06404464433159038,0.059425224897109295,,,,,,,,,,
1950-04-01 00:00:00,-0.09619175271941471,0.0020696276294518267,0.030965904000000013,0.012714930999999999,-0.009436989,0.06211257802129789,0.05617754687851001,,,,,,,,,,
1950-07-01 00:00:00,-0.13015344646606725,0.0012918883303164783,0.015467533999999995,0.010037470999999996,-0.009144389,0.04540296164070052,0.037372493993744135,,,,,,,,,,
1950-10-01 00:00:00,-0.16051135533599986,-0.004241778843972442,0.009041363999999993,0.028724640999999995,-0.009069129,0.04021937076236553,0.030315820138134327,,,,,,,,,,
1951-01-01 00:00:00,-0.19309549166048706,0.0011584896814689797,0.01382219399999996,-0.0026747789999999987,-0.008759689,0.003739865951520012,-0.008174125883932078,,,,,,,,,,
1951-04-01 00:00:00,-0.17143849289510105,0.0025445369694745237,0.014634393999999997,-0.008580839,-0.008475259,-9.385521103791115e-05,-0.010671610222665688,,,,,,,,,,
1951-07-01 00:00:00,-0.16256055783090198,0.0005015227684826848,-0.004886826000000003,0.0025984110000000006,-0.008458529,0.011788737725634579,0.001758751307467923,,,,,,,,,,
1951-10-01 00:00:00,-0.16677921898549192,0.0034516082857840797,0.005591614000000008,-0.010700609,-0.008567289,0.004067775451739817,-0.006222502359665041,,,,,,,,,,
1952-01-01 00:00:00,-0.14611306163826274,0.003241804985930165,-0.005399776000000001,-0.0069905889999999984,-0.008366489,0.013299263571019756,0.004284087667938943,,,,,,,,,,
1952-04-01 00:00:00,-0.13531864033302662,0.001118366049054769,-0.0017295360000000068,0.0035277610000000004,-0.008023349,0.022228937371786103,0.013879777263238361,,,,,,,,,,
1952-07-01 00:00:00,-0.13561815185019005,0.0028653753039025063,0.024330983999999993,-0.005967829000000001,-0.007747079,0.012300072283471951,0.003932432314315162,,,,,,,,,,
1952-10-01 00:00:00,-0.12419027897189004,0.003619114216554837,0.004320163999999998,-0.008059059,-0.007529359,0.014529461261956969,0.006866921049391335,,,,,,,,,,
1953-01-01 00:00:00,-0.10673761055390792,0.003742815430172076,0.0011482440000000016,-0.0070171190000000005,-0.007093769,0.01945958518690748,0.01287387461573135,,,,,,,,,,
1953-04-01 00:00:00,-0.11212370757165288,0.003553199702676727,-0.013429025999999997,-0.004422829,-0.007587979,0.025696058286977397,0.018778025529806407,,,,,,,,,,
1953-07-01 00:00:00,-0.13422004218631847,0.004258389881261966,-0.024370276,-0.005990839,-0.008801519,0.028947073449728543,0.020665696846832695,,,,,,,,,,
1953-10-01 00:00:00,-0.14849414980162248,0.004322087545609854,-0.013297105999999998,-0.004966069,-0.009838129,0.03247736718198228,0.02331527813922218,,,,,,,,,,
1954-01-01 00:00:00,-0.1578289947468704,0.005225703893144525,-0.006122925999999999,-0.008065509,-0.010514699,0.03291934219340601,0.02318129321752409,,,,,,,,,,
1954-04-01 00:00:00,-0.14542226711423184,0.005100979744884545,0.0034641239999999994,-0.0065221689999999995,-0.010280869,0.0362318441202811,0.027259290239332972,,,,,,,,,,
1954-07-01 00:00:00,-0.13509219271494893,0.0050638148658797314,0.011639884,-0.006013439000000001,-0.009938389,0.03741727689523911,0.029082088604726733,,,,,,,,,,
1954-10-01 00:00:00,-0.12326198230850334,0.004572056767402207,0.020187964,-0.003976069000000002,-0.009428629,0.03815702823765621,0.03055176392922152,,,,,,,,,,
1955-01-01 00:00:00,-0.11308935148645757,0.004649003016630629,0.007332174,-0.004505439,-0.008776419,0.037877253222096154,0.030899640235381703,,,,,,,,,,
1955-04-01 00:00:00,-0.09484782377940877,0.0037863939237383457,0.005226453999999996,-0.0009839389999999996,-0.007839179,0.03933132814462991,0.03347921741744038,,,,,,,,,,
1955-07-01 00:00:00,-0.07659231479873553,0.0030068169375499047,-0.0023137259999999977,0.0014594009999999995,-0.006632849,0.038622175709210685,0.0338964298861287,,,,,,,,,,
1955-10-01 00:00:00,-0.08433799648905346,0.002796119833141702,-0.011814026,0.001359601,-0.006657999,0.036006085736125196,0.030802431352750605,,,,,,,,,,
1956-01-01 00:00:00,-0.07462626910353874,0.0035290457964295275,0.0002540839999999997,-0.0031554290000000004,-0.006054309,0.03011512075336619,0.025510679949677824,,,,,,,,,,
